"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 19:25:06 GMT 2024","Fri Aug 23 19:25:07 GMT 2024","330","","Booking","","Booking","[bk-1] GET /ping","[bk-1] GET /ping",""
"passed","Fri Aug 23 19:25:07 GMT 2024","Fri Aug 23 19:25:08 GMT 2024","230","","Booking","","Booking","[bk-5] PATCH /booking{id}","[bk-5] PATCH /booking{id}",""
"passed","Fri Aug 23 19:25:07 GMT 2024","Fri Aug 23 19:25:07 GMT 2024","241","","Booking","","Booking","[bk-3] POST /booking","[bk-3] POST /booking",""
"passed","Fri Aug 23 19:25:08 GMT 2024","Fri Aug 23 19:25:08 GMT 2024","225","","Booking","","Booking","[bk-7] DELETE /booking/{id}","[bk-7] DELETE /booking/{id}",""
"passed","Fri Aug 23 19:25:08 GMT 2024","Fri Aug 23 19:25:08 GMT 2024","226","","Booking","","Booking","[bk-6] GET /booking/{id}","[bk-6] GET /booking/{id}",""
"passed","Fri Aug 23 19:25:07 GMT 2024","Fri Aug 23 19:25:07 GMT 2024","236","","Booking","","Booking","[bk-4] PUT /booking{id}","[bk-4] PUT /booking{id}",""
"passed","Fri Aug 23 19:25:07 GMT 2024","Fri Aug 23 19:25:07 GMT 2024","224","","Booking","","Booking","[bk-2] POST /auth","[bk-2] POST /auth",""
