"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","36","","Booking","","Booking","[bk-6] GET /booking/{id}","[bk-6] GET /booking/{id}",""
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","45","","Booking","","Booking","[bk-2] POST /auth","[bk-2] POST /auth",""
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","39","","Booking","","Booking","[bk-5] PATCH /booking{id}","[bk-5] PATCH /booking{id}",""
"passed","Fri Aug 23 19:01:21 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","1081","","Booking","","Booking","[bk-1] GET /ping","[bk-1] GET /ping",""
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","36","","Booking","","Booking","[bk-7] DELETE /booking/{id}","[bk-7] DELETE /booking/{id}",""
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","28","","Booking","","Booking","[bk-3] POST /booking","[bk-3] POST /booking",""
"passed","Fri Aug 23 19:01:22 GMT 2024","Fri Aug 23 19:01:22 GMT 2024","42","","Booking","","Booking","[bk-4] PUT /booking{id}","[bk-4] PUT /booking{id}",""
